,startTime,endTime,control,transitionType,targetLocX,targetLocY,targetLocZ,targetRotX,targetRotY,targetRotZ,targetDimX,targetDimY,targetDimZ,targetType,uid,sid,cid,interfaceID,numClicks,draggingDuration,resetIKNum,topViewDuration,sideViewDuration,frontViewDuration,numViewSwitches,cycleLength
23,1604015346.589,1604015370.688,target,click,3.728233293074367,1.6872780428572258,1.8220876082374442,0,45,90,0.12491206656750345,2.0692507091332635,0.3616276666303432,box,uneBgpxMO5SOMtkbAvLb9JyoZof1,-MKqkRQ1e3BdbuyKuRoT,-MKqkxDS_4N-LSnYm9rE,target-click,10,-1.0,0,-0.369,18.801,5.667,5,24.098999977111816
24,1604015250.745,1604015341.629,target,click,2.4580678754775285,2.099931323060914,-0.962370954627116,0,90,90,0.12491206656750345,2.0692507091332635,0.3616276666303432,box,uneBgpxMO5SOMtkbAvLb9JyoZof1,-MKqkRQ1e3BdbuyKuRoT,-MKqk_ottJQUEEUotxiK,target-click,40,-1.0,3,34.342,89.009,-32.467,15,90.8840000629425
25,1604086191.637,1604086197.96,drag,press/release,6.481203084124845,2.3753323669873794,-0.7662803563862363,90,0,0,0.13620085384294292,0.13620085384294292,1.0,cylinder,eRumjKiTDRQpHDzi6vFltK0Roqn2,-MKuzA5aCX_mTQX7qsXm,-MKuzCNKSBM6NEXbJrK0,drag-press/release,2,1604086197.749,0,6.323,0.0,0.0,1,6.322999954223633
26,1604086202.044,1604086214.55,drag,press/release,4.33711556766645,2.63625794906077,-1.3380527743457558,90,0,0,0.13620085384294292,0.13620085384294292,1.0,cylinder,eRumjKiTDRQpHDzi6vFltK0Roqn2,-MKuzA5aCX_mTQX7qsXm,-MKuzEuwgfl1iD3ImgAJ,drag-press/release,6,1604086215.027,0,18.928,-7.636,1.214,3,12.50600004196167
27,1604086218.872,1604086232.251,drag,press/release,2.6764511671911397,1.706737385913021,0.6029659986350033,0,0,90,0.18386193415006657,1.8360823303129588,0.3327505434067815,box,eRumjKiTDRQpHDzi6vFltK0Roqn2,-MKuzA5aCX_mTQX7qsXm,-MKuzJ0s2Qe9gQ_560kx,drag-press/release,4,1604086237.319,0,8.256,-11.76,16.883,3,13.378999948501587
28,1604086257.184,1604086268.351,drag,press/release,2.8885042161915373,1.642151887510796,0.5947720320367278,0,45,90,0.18386193415006657,1.8360823303129588,0.3327505434067815,box,eRumjKiTDRQpHDzi6vFltK0Roqn2,-MKuzA5aCX_mTQX7qsXm,-MKuzSNVu35gAp4SNhZs,drag-press/release,8,3208172530.015,0,14.586,3.202,-6.621,4,11.16700005531311
29,1604086236.238,1604086252.953,drag,press/release,3.6501808885208296,2.2612568644594777,-3.4034742697289393,0,90,90,0.18386193415006657,1.8360823303129588,0.3327505434067815,box,eRumjKiTDRQpHDzi6vFltK0Roqn2,-MKuzA5aCX_mTQX7qsXm,-MKuzNGD9TROAZRnoSCK,drag-press/release,10,4812258738.515,0,4.578,14.384,-2.247,4,16.71500015258789
30,1604109083.406,1604109101.122,target,click,2.1219886608480594,2.4386406630845485,1.187536299961609,0,45,90,0.1510196196093763,2.1972706906145354,0.3991052954509674,box,4GKWUieTnbVqQlpgNtIHWNN2vym1,-MKwLFpvVNb0HKW_GwAB,-MKwLXBDndTNpYWaYEl7,target-click,5,-1.0,0,7.673,14.654,-4.611,5,17.716000080108643
31,1604109030.106,1604109037.087,target,click,4.249560480698717,3.4099004972468707,-0.8226855833078923,90,0,0,0.1357547876295859,0.1357547876295859,1.0,cylinder,4GKWUieTnbVqQlpgNtIHWNN2vym1,-MKwLFpvVNb0HKW_GwAB,-MKwLKAQSPcoiVNPhGn7,target-click,2,-1.0,0,6.979,5.435,-5.433,2,6.980999946594238
32,1604109041.451,1604109047.8,target,click,3.974027225733451,1.7695079768226711,-2.620632423240082,0,0,90,0.1510196196093763,2.1972706906145354,0.3991052954509674,box,4GKWUieTnbVqQlpgNtIHWNN2vym1,-MKwLFpvVNb0HKW_GwAB,-MKwLMwfidZGNBKMvViw,target-click,2,-1.0,0,0.002,1.995,4.352,3,6.348999977111816
33,1604109052.188,1604109078.462,target,click,3.7968909131806563,1.9275123275658244,1.9547267667771857,0,90,90,0.1510196196093763,2.1972706906145354,0.3991052954509674,box,4GKWUieTnbVqQlpgNtIHWNN2vym1,-MKwLFpvVNb0HKW_GwAB,-MKwLPZRICe1BL1cGTS-,target-click,6,-1.0,0,15.492,10.4,0.382,7,26.2739999294281
34,1604109021.726,1604109025.594,target,click,6.337675165609201,2.456876591698836,-0.5620928875467969,90,0,0,0.1357547876295859,0.1357547876295859,1.0,cylinder,4GKWUieTnbVqQlpgNtIHWNN2vym1,-MKwLFpvVNb0HKW_GwAB,-MKwLI7UQ090SZEvk_V5,target-click,1,-1.0,0,3.868,0.0,0.0,1,3.868000030517578
35,1604087029.916,1604087044.494,drag,press/release,3.154718265789759,1.6778695825707275,-0.6046185479277892,0,45,90,0.15891057525491714,2.1393710316277117,0.3011024125827653,box,YEke5m26ZyfKGdM6fZEHN2f3IEB3,-MKv17AK8bEsVYj5A_hS,-MKv1P1RrXa3eFZ0_hHc,drag-press/release,14,7.615,0,2.916,-2.915,14.577,4,14.57800006866455
