,startTime,endTime,control,transitionType,targetX,targetY,targetTheta,threshXY,threshTheta,uid,sid,cid,interfaceID,numClicks,draggingDuration,cycleLength,targetDistance
27,1600298701.485,1600298716.233,drag,press/release,152.85660552833411,308.6670123488777,165.95563699841884,19.618723152921863,16.889483900561242,0BPAoSr877bPCxDmD0EztyNROaD2,-MHOCESiuBXQLVbqFVtO,-MHOE49hSrzx1ABNOD2h,drag-press/release,4,10.791,14.748000144958496,212.6844561058831
28,1600298720.671,1600298733.078,drag,press/release,401.9101839456614,223.21382594264685,-70.53340355587515,11.911895441792488,55.061319593783594,0BPAoSr877bPCxDmD0EztyNROaD2,-MHOCESiuBXQLVbqFVtO,-MHOE8qUDnTJpySFWq3k,drag-press/release,4,6.422,12.407000064849854,51.78659473791703
29,1600298737.318,1600298748.312,drag,press/release,373.42498953865464,317.81567425557824,-127.16252892371115,16.904352426536157,12.048785805584558,0BPAoSr877bPCxDmD0EztyNROaD2,-MHOCESiuBXQLVbqFVtO,-MHOECuagjU9VhdlrbM8,drag-press/release,4,7.665,10.99399995803833,70.74869118644364
30,1600298753.917,1600298769.515,drag,press/release,551.5536538288384,276.819493049697,106.74017915966178,21.734852201670837,23.027517988217323,0BPAoSr877bPCxDmD0EztyNROaD2,-MHOCESiuBXQLVbqFVtO,-MHOEGxxmmDt2mepKKgU,drag-press/release,4,12.095,15.598000049591064,196.5325632349347
31,1600298773.763,1600298787.983,drag,press/release,494.63398476415693,357.9285612245786,-16.849420884553492,24.916064537348653,7.014025738465483,0BPAoSr877bPCxDmD0EztyNROaD2,-MHOCESiuBXQLVbqFVtO,-MHOELo2Qb9SQGkzS2Iv,drag-press/release,6,7.235,14.22000002861023,175.52363149307544
32,1600298792.569,1600298803.707,drag,press/release,563.3567888621419,124.68260166990586,75.87817598665814,15.780433876776414,21.448734572276763,0BPAoSr877bPCxDmD0EztyNROaD2,-MHOCESiuBXQLVbqFVtO,-MHOEQOttErSNkg2WWt0,drag-press/release,4,7.579,11.138000011444092,240.91064699813066
33,1600298807.962,1600298826.233,drag,press/release,364.21168413864683,415.44790623488973,-93.2518078609516,23.40471753828865,5.299377918916372,0BPAoSr877bPCxDmD0EztyNROaD2,-MHOCESiuBXQLVbqFVtO,-MHOEU9PUs4n0JjWq1Kw,drag-press/release,4,12.39,18.271000146865845,166.60406321003774
34,1600298831.547,1600298856.679,drag,press/release,416.4330127144405,181.95543228543204,62.28066475447577,19.740895698357974,50.16292910497165,0BPAoSr877bPCxDmD0EztyNROaD2,-MHOCESiuBXQLVbqFVtO,-MHOEZuv8YeJrWWGa988,drag-press/release,4,7.527,25.131999969482422,89.59496113257785
35,1600298861.146,1600298887.802,drag,press/release,221.29109016458818,94.69124884444557,-131.8718572144911,12.113378822718577,6.8482988171031955,0BPAoSr877bPCxDmD0EztyNROaD2,-MHOCESiuBXQLVbqFVtO,-MHOEg8PsVbzJq6moBUK,drag-press/release,4,20.086,26.6560001373291,205.49476609369583
36,1599758858.675,1599758883.693,targetdrag,press/release,292.3386246071444,260.6202345127578,57.70302990584798,14.79673260393039,20.994079264613546,0PVGvqS893cOmDxgan51nj5CvBo1,-MGt2i5TLx33EGXNWN-8,-MGt2jan28yJhqUnsNQg,targetdrag-press/release,12,15.668,25.01800012588501,65.69720936103204
37,1599758888.201,1599758910.774,targetdrag,press/release,406.94124590881654,342.9078639234119,-84.09139736764418,23.73735195087957,11.475283377198085,0PVGvqS893cOmDxgan51nj5CvBo1,-MGt2i5TLx33EGXNWN-8,-MGt2qo8YIwq7bapYjD4,targetdrag-press/release,12,10.859,22.572999954223633,106.36171750015575
38,1599758915.265,1599758920.959,targetdrag,press/release,364.755617680337,154.00798789644745,-45.90167845530616,11.940424762932048,48.089400939699146,0PVGvqS893cOmDxgan51nj5CvBo1,-MGt2i5TLx33EGXNWN-8,-MGt2xQ00ltlca1hNsUt,targetdrag-press/release,2,1.882,5.694000005722046,95.30808973578807
39,1599758925.801,1599758931.616,targetdrag,press/release,598.0180783555876,258.0549525962945,95.94749564028822,28.440843804773316,33.65484558515154,0PVGvqS893cOmDxgan51nj5CvBo1,-MGt2i5TLx33EGXNWN-8,-MGt2zzdPj6VqPthfEEf,targetdrag-press/release,2,2.042,5.81499981880188,241.18811384631147
